id;nome;cpf;data_nascimento;tipo;criacao
1;Buckinghamshire transmitting;multimedia;2022-04-20;ALUNO;2022-04-21T00:10:30
2;benchmark Account primary;esmeralda connecting system;2022-04-20;PROFESSOR;2022-04-21T10:44:09
3;Somoni convergence;Amapá Licenciado Bedfordshire;2022-04-20;PROFESSOR;2022-04-21T15:12:06
4;Triple-buffered;program Forward;2022-04-21;ALUNO;2022-04-20T19:49:01
5;Marginal;PCI Rial Toalhas;2022-04-21;ALUNO;2022-04-21T05:39:35
6;generation bronze;Bedfordshire Cuba navigating;2022-04-21;PROFESSOR;2022-04-20T20:51:38
7;Gostoso;Luvas motivating virtual;2022-04-21;PROFESSOR;2022-04-21T13:56:08
8;Intuitive;auxiliary Human;2022-04-21;PROFESSOR;2022-04-21T01:09:41
9;Rio collaborative Investment;virtual;2022-04-21;PROFESSOR;2022-04-20T19:32:18
10;CSS;Refinado Uganda;2022-04-21;PROFESSOR;2022-04-21T11:20:04
